Spanish,English
que,what
de,of
no,no
a,to
la,the
el,the
es,is
y,and
en,in
lo,the
un,one
por,by
qué,what
me,me
una,one
te,tea
los,the
se,herself
con,with
para,for
mi,my
está,is
si,yes
bien,not bad
pero,but
yo,i
eso,that
las,the
sí,yes
su,his
tu,your
aquí,here
del,of the
al,to the
como,how
le,him
más,more
esto,this
ya,already
todo,all
esta,this
vamos,let's go
muy,very
hay,there's
ahora,now
algo,something
estoy,am
tengo,have
nos,us
tú,you
nada,nothing
cuando,when
ha,has
este,this
sé,know
estás,are
así,like this
puedo,i can
cómo,how
quiero,i want to
sólo,only
soy,am
tiene,has
gracias,thank you
o,or
él,he
bueno,well
fue,was
ser,be
hacer,do
son,are
todos,all
era,era
eres,you are
vez,time
tienes,have
creo,i think
ella,she
he,i
ese,that
voy,i 'm going
puede,can
sabes,you know
hola,hello
sus,their
porque,because
dios,god
quién,who
nunca,never
dónde,where
quieres,do you want
casa,house
favor,favor
esa,that
dos,two
tan,so
señor,lord
tiempo,time
verdad,truth
estaba,was
mejor,better
están,are
va,goes
hombre,man
usted,you
mucho,a lot
hace,ago
entonces,then
siento,feel
tenemos,we have
puedes,you can
ahí,there
ti,thee
vida,life
ver,see
alguien,someone
sr,mr
hasta,until
sin,without
mí,me
solo,alone
años,years
sobre,envelope
decir,say
uno,one
siempre,always
oh,oh
ir,go
cosas,stuff
también,also
antes,before
has,you
ni,nor
mis,my
día,day
estar,be
estamos,are
noche,night
nadie,nobody
otra,other
quiere,want
parece,seems
nosotros,we
poco,little
padre,father
trabajo,work
gente,people
mira,scope
vas,going
sea,be
les,them
donde,where
mismo,same
hecho,fact
ellos,they
dijo,said
pasa,come in
dinero,money
hijo,son
tal,such
otro,other
hablar,speak
seguro,sure
claro,of course
estas,these
lugar,place
mundo,world
amigo,friend
espera,hold on
mierda,shit
han,have
tus,your
sabe,know
después,after
momento,moment
desde,since
fuera,outside
cosa,thing
tipo,guy
mañana,tomorrow
podemos,can
dije,trinket
gran,great
necesito,need
estado,state
podría,could
acuerdo,agreement
papá,dad
tener,have
dice,says
mío,mine
crees,think
buena,good
gusta,like
nuestro,our
nuevo,new
será,be
haciendo,doing
días,days
nombre,name
buen,good
había,had
ven,come here
tres,three
menos,less
debe,must
tenía,had
mal,not good
conmigo,with me
madre,mother
hoy,today
quien,who
sido,been
mamá,mum
tienen,have
luego,later
todas,all
allí,there
toda,all
hora,hour
mujer,woman
visto,seen
haces,do
importa,matter
contigo,with you
ve,see
tarde,late
oye,hey
parte,part
haber,have
hombres,men
problema,problem
mas,but
saber,know
quería,wanted
aún,still
veces,times
nuestra,our
hacerlo,do
cada,every
hizo,made
veo,see
tanto,a lot
razón,reason
ustedes,you
idea,idea
esos,those
van,van
quizá,maybe
debo,must
alguna,any
cierto,true
ud,you
muerto,dead
unos,some
estos,these
salir,get out
policía,police
realmente,really
demasiado,too much
familia,family
pueden,can
